stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Documents\ITBA\EDA\EDA-Robot-Cleaner\Project\x64\Debug\allegro5.cfg r
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Usuario\Documents\ITBA\EDA\EDA-Robot-Cleaner\Project\x64\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.6
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00242] Also searching C:\Users\Usuario\Documents\ITBA\EDA\EDA-Robot-Cleaner\Project\x64\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00370] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00390] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:763  load_library_at_path             [   0.01107] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   2.77761] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1778 d3d_create_display_locked        [   2.77986] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1779 d3d_create_display_locked        [   2.78031] al_display=000002AE963ECDC0
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   2.78039] al_display->vt=000002AE96393030
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   2.80586] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   2.80615] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80622] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80634] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80642] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80655] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80666] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80673] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80679] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80683] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80691] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80697] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80704] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80709] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80716] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80721] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80729] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80735] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80745] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80751] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80756] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80761] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80772] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80780] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80787] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80795] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80801] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80806] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80811] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80816] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80823] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80828] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.80834] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   2.80839] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80845] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80857] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80863] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80868] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80874] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80879] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80885] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80890] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80895] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80901] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80906] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80912] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80917] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80923] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80930] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80935] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80940] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80949] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80956] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80965] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80979] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.80984] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.80993] Single Buffer requirement not met.
